conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Klasifikasi,Keyword
1787467313245212744,Mon May 06 12:59:51 +0000 2024,0,Tolong infokan sales Biznet atau myrepublic wilayah Karawang @IndiHomeCare udah gak bisa diandalkan Cs nya terlalu slow respon.,1787467313245212744,,,in,,0,0,0,https://x.com/undefined/status/1787467313245212744,168107322,,Negatif,
1779828661249872200,Mon Apr 15 11:06:35 +0000 2024,0,@BiznetHome hi min boleh infokan pasang biznet area karawang?,1779828661249872200,,BiznetHome,in,,0,1,0,https://x.com/undefined/status/1779828661249872200,300107432,,Negatif,
1760893249009680607,Fri Feb 23 05:04:01 +0000 2024,0,@BiznetHome halo kak apakah biznet sedang mengalami gangguan di wilayah Teluk Jambe Timur Karawang?,1760893249009680607,,BiznetHome,in,,0,2,0,https://x.com/undefined/status/1760893249009680607,221346777,,Negatif,gangguan
1717118265661739111,Wed Oct 25 09:57:51 +0000 2023,0,Biznet @BiznetHome kenapa Lemot ya area karawang,1717118265661739111,,,in,,0,1,0,https://x.com/undefined/status/1717118265661739111,522907055,,Negatif,lemot
1600062601308037126,Tue Dec 06 09:40:26 +0000 2022,0,@BiznetHome halo min ini Biznet di daerah Telukjambe Timur Karawang sedang ada trouble ya? dari semalam sudah tidak bisa connect ?,1600062601308037126,,BiznetHome,in,,0,1,0,https://x.com/undefined/status/1600062601308037126,268209984,,Negatif,
1563394119149694977,Sat Aug 27 05:26:20 +0000 2022,0,@abah_maryam @Biznet karawang ka ,1563397480553017346,,abah_maryam,tl,,0,0,0,https://x.com/undefined/status/1563397480553017346,1370410608152043522,,Negatif,
1529297352472678400,Wed May 25 03:04:36 +0000 2022,0,biznet karawang butut lemot bgt,1529297352472678400,,,in,,0,0,0,https://x.com/undefined/status/1529297352472678400,752483305958707200,,Negatif,lemot
1430165105300410377,Tue Aug 24 13:48:26 +0000 2021,0,@BiznetHome pak punten pisan biznet karawang apakah ada gangguan ya? Udah 2 hari nggabisa....,1430165105300410377,,BiznetHome,in,,0,1,0,https://x.com/undefined/status/1430165105300410377,593721206,,Negatif,gangguan
1424343633898049543,Sun Aug 08 12:16:00 +0000 2021,0,@BiznetHome Halo Min.. internet Biznet di karawang mati nih dari siang.. ada apakah??,1424343633898049543,,BiznetHome,in,,0,1,0,https://x.com/undefined/status/1424343633898049543,248047828,,Negatif,
1421084875436691463,Fri Jul 30 12:26:51 +0000 2021,0,@BiznetHome Halo saya dari Universitas Singaperbangsa Karawang akan mengadakan event Fasilkom Cup jika ingin mengajukan sponsor biznet di Karawang harus menghubungi kemana ya?,1421084875436691463,,BiznetHome,in,,0,1,0,https://x.com/undefined/status/1421084875436691463,1262239955901747200,,Negatif,
1348593256024604672,Mon Jan 11 13:43:28 +0000 2021,0,@rsoulstory @karawangfess Di ruko jajaran sei sapi kana depan geprek bensu ato google aja biznet karawang,1348626585507614721,,,in,,0,0,0,https://x.com/undefined/status/1348626585507614721,822460315,,Negatif,
1265592509964546048,Wed May 27 10:35:42 +0000 2020,0,@BiznetHome min kantor biznet karawang yang di galuhmas tutup jam brp ya ??,1265592509964546048,,BiznetHome,in,,0,1,0,https://x.com/undefined/status/1265592509964546048,732320540,,Negatif,
1265068376671449088,Mon May 25 23:52:59 +0000 2020,0,@BiznetHome kak punten biznet ada masalahkah dari minggu lalu nggabisa internetan daerah nagasari karawang barat karawang a.n. latif hidayat,1265068376671449088,,BiznetHome,in,,0,6,0,https://x.com/undefined/status/1265068376671449088,593721206,,Negatif,
1249630951853813761,Mon Apr 13 09:37:14 +0000 2020,1,@karawangfess Biznet kalo karawang kota . Biaya daftar nya mahal biaya bulanan nya murah . Bisa netflix . Kalo ind*home engga ‍️,1249632730742050817,,karawangmf,in,,0,1,0,https://x.com/undefined/status/1249632730742050817,3242401214,,Positif,murah
1249606825659387904,Mon Apr 13 08:05:05 +0000 2020,0,@wisnuAk7 @karawangfess Biznet ada di karawang kak?,1249609538371633152,,mellodichild,tl,,0,2,0,https://x.com/undefined/status/1249609538371633152,885421592494329856,,Negatif,
1247031827702763520,Mon Apr 06 05:22:11 +0000 2020,0,@BiznetHome Assalamualaikum akang teteh jaringan biznet dengan nomor pelanggan 20080719 a.n. latif hidayat daerah karawang apakah ada gangguan yaa?,1247031827702763520,,BiznetHome,in,,0,2,0,https://x.com/undefined/status/1247031827702763520,593721206,,Negatif,gangguan
1241311162106400770,Sat Mar 21 10:30:18 +0000 2020,0,@BiznetHome kalau mau pasang biznet bagaimana prosesnya? wilayah karawang timur,1241311162106400770,,BiznetHome,in,,0,2,0,https://x.com/undefined/status/1241311162106400770,96078398,,Negatif,
1220588388182441984,Sat Jan 25 03:31:20 +0000 2020,0,@Bnetkrw Wah udah ada Biznet Karawang cek dong kgv 2 udah bisa pasang Biznet belum?,1220912006728806400,,Bnetkrw,in,,0,0,0,https://x.com/undefined/status/1220912006728806400,125221933,,Negatif,
1213669561838399489,Sun Jan 05 04:08:56 +0000 2020,0,@unpetitebelle Setelah kami lakukan pengecekan untuk area karawang saat ini terdapat kendala pada sisi jalur distribusi kami sehingga berdampak tidak tersedia layanan Biznet dan masih dalam pengecekan oleh tim kami. Mohon maaf atas ketidaknyamanannya. Terima kasih. ^rzk,1213673713385775105,,unpetitebelle,in,,0,1,0,https://x.com/undefined/status/1213673713385775105,304822906,,Positif,aman
1213642991681695744,Sun Jan 05 02:30:32 +0000 2020,0,@krystaIyne Setelah kami lakukan pengecekan untuk di area Karawang saat ini dapat kami sampaikan saat ini terdapat kendala pada sisi jalur distribusi kami yang sehingga berdampak tidak tersedia layanan Biznet masih dalam pengecekan. Mohon maaf atas ketidaknyamanannya. Thanks^rzk,1213648949531287552,,ultrimilk,in,,1,2,0,https://x.com/undefined/status/1213648949531287552,304822906,,Positif,aman
1208423493097775110,Sat Dec 21 16:26:26 +0000 2019,0,@BiznetHome malam min untuk daerah perum ckm bengle majalaya karawang kira2 kpn ya biznet bisa tersambung?,1208423493097775110,,BiznetHome,in,,0,1,0,https://x.com/undefined/status/1208423493097775110,1631575392,,Negatif,
1206571694053318656,Mon Dec 16 14:02:31 +0000 2019,0,@krystaIyne Kami sampaikan permohonan maaf atas ketidaknyamanannya. Terkait indikasi kendala layanan Biznet di area Karawang disebabkan adanya kebakaran di area Perumnas pada kemarin hari dan saat ini masih dalam proses penanganan tim terkait agar layanan di lokasi dapat kemb...,1206575333748727814,,ultrimilk,in,,0,1,0,https://x.com/undefined/status/1206575333748727814,304822906,,Positif,aman
1206331347905724417,Mon Dec 16 12:10:15 +0000 2019,0,@arizalramadhana Hi malam. Terkait kendala layanan Biznet di area Karawang saat ini masih dalam proses penanganan tim terkait kami dan saat ini sdh kami teruskan ke tim terkait agar dapat dipercepat kembali. Kami sampaikan permohonan maaf atas ketidaknyamanannya. Tks. ^yud,1206547080354959360,,arizalramadhana,in,,0,1,0,https://x.com/undefined/status/1206547080354959360,304822906,,Positif,cepat
1206536408413786112,Mon Dec 16 12:05:10 +0000 2019,0,@intan_manechu Hi malam. Saat ini kendala layanan Biznet di area Karawang masih dalam proses penanganan tim terkait agar layanan di lokasi dapat kembali aktif. Sebelumnya kami sampaikan permohonan maaf atas ketidaknyamanannya. Terima kasih. ^yud,1206545802908319749,,intan_manechu,in,,0,1,0,https://x.com/undefined/status/1206545802908319749,304822906,,Positif,aman
1175219464385597440,Sat Sep 21 01:25:29 +0000 2019,0,@BiznetNetworks selamat pagi saya pelanggan id 20055709 tadi malam ada mati lampu di Karawang tapi cuma satu jam aja masalah nya layanan internet Biznet ko ikut mati juga sampe saya melaporkan saat ini. Tolong segera di perbaiki. Terimakasih.,1175219464385597440,,BiznetNetworks,in,,0,0,0,https://x.com/undefined/status/1175219464385597440,1120977138675404800,,Negatif,
1157797810156138496,Sat Aug 03 23:38:03 +0000 2019,0,Selamat pagi @BiznetNetworks mohon info layanan metro biznet daerah karawang apakah sedang terjadi gangguan dari tadi malam?,1157797810156138496,,,in,,0,1,0,https://x.com/undefined/status/1157797810156138496,135923896,,Negatif,gangguan
1156555094806028289,Wed Jul 31 13:19:57 +0000 2019,0,@BiznetHome slamat malam..utk biznet area galuh mas karawang apakah ada gangguan?? https://t.co/7MutcylKZD,1156555094806028289,https://pbs.twimg.com/media/EAzouleUwAAc1ba.jpg,BiznetHome,in,,0,1,0,https://x.com/undefined/status/1156555094806028289,79700260,,Negatif,gangguan
1147467584289173505,Sat Jul 06 11:29:25 +0000 2019,0,@BiznetHome di perum puri telukjambe karawang apakah sudah tersedia jaringan biznet?,1147467584289173505,,BiznetHome,in,,0,0,0,https://x.com/undefined/status/1147467584289173505,1707113191,,Negatif,
1142570646628552704,Mon Jun 24 11:20:15 +0000 2019,0,@BiznetHome konfirmasi lagi nih sudah di contact org biznet konfirmasi alamat rumah di mana sudah panjang lebar ujung nya di bilang di daerah jaktim padahal di database biznet jelas2 d karawang... luar biasa.. @BiznetNetworks,1143116623718469632,,BiznetHome,in,,0,0,0,https://x.com/undefined/status/1143116623718469632,42817430,,Negatif,lag
1138760285907369990,Wed Jun 12 10:49:43 +0000 2019,0,kak @BiznetHome area ini sudah bisa pasang biznet home kah ??? Ruko Roce Resinda Blok TA 7 No. 28 Kel. Purwadana Kec. Telukjambe Timur Kab. Karawang Barat Jawa Barat - 41361,1138760285907369990,,,in,,0,2,0,https://x.com/undefined/status/1138760285907369990,522040819,,Negatif,
1123227825232695296,Tue Apr 30 14:09:16 +0000 2019,0,@BiznetNetworks wil.karawang jl.pramuka bisa pasang biznet..brp biayanya..thx,1123227825232695296,,BiznetNetworks,in,,0,1,0,https://x.com/undefined/status/1123227825232695296,408813524,,Negatif,
1123227096891813897,Tue Apr 30 14:06:23 +0000 2019,0,@BiznetHome apakah utk wil. karawang jalan pramuka kel nagasari bisa pasang biznet,1123227096891813897,,BiznetHome,in,,0,1,0,https://x.com/undefined/status/1123227096891813897,408813524,,Negatif,
1104321451484602368,Sat Mar 09 10:02:05 +0000 2019,0,Yth @BiznetNetworks mohon infonya apakah sedang ada perbaikan jaringan di wilayah telukjambe timur - karawang?..karena semenjak tadi pagi koneksi internet biznet saya bermasalah..Mohon infonya..Tks https://t.co/S1Ik95t4Gn,1104321451484602368,https://pbs.twimg.com/media/D1NWgWLUwAAw5dr.jpg,,in,,0,3,0,https://x.com/undefined/status/1104321451484602368,65268941,,Negatif,
1090165418302439424,Tue Jan 29 08:31:04 +0000 2019,0,@BiznetHome permisi min saya mau nanya kalo untuk biaya pemasangan biznet home internet 1A kira2 berapa ya? saya domisili karawang jawa barat,1090165418302439424,,BiznetHome,in,,0,1,0,https://x.com/undefined/status/1090165418302439424,1058037635602468865,,Negatif,
1071544549036572677,Sat Dec 08 23:18:23 +0000 2018,0,@BiznetHome pagi min..mw tanya koneksi biznet didaerah galuh mas karawang apakah bermasalah??hingga kapan ya?? https://t.co/AKYysie2L7,1071544549036572677,https://pbs.twimg.com/media/Dt7kFlkUUAErgH-.jpg,BiznetHome,in,,0,2,0,https://x.com/undefined/status/1071544549036572677,79700260,,Negatif,
1003912329661112320,Tue Jun 05 08:12:05 +0000 2018,0,@BiznetHome mau tanya biznet sudah mencakup daerah rengasdengklok karawang blm ya?,1003912329661112320,,BiznetHome,in,,0,2,0,https://x.com/undefined/status/1003912329661112320,78848661,,Negatif,
1002437486314807296,Fri Jun 01 06:31:35 +0000 2018,0,@BiznetHome di perum puri telukjambe karawang sudah bisa terjangkau jaringan biznet blm ya?,1002437486314807296,,BiznetHome,in,,0,2,0,https://x.com/undefined/status/1002437486314807296,1707113191,,Negatif,
910102151652818944,Tue Sep 19 11:23:56 +0000 2017,0,@BiznetNetworks @BiznetHome mohon informasikan ke teknisi branch karawang perumahan karang indah br nyala lampunya. Biznet msh mati disini.,910102151652818944,,BiznetNetworks,in,,0,4,0,https://x.com/undefined/status/910102151652818944,21923012,,Negatif,
891171066638245888,Sat Jul 29 05:38:34 +0000 2017,0,@BiznetHome mohon infonya jaringan internet biznet sdh ada di perumahan puri telukjambe karawang blm ya?,891171066638245888,,BiznetHome,in,,0,3,0,https://x.com/undefined/status/891171066638245888,3148863559,,Negatif,
880386557764526080,Thu Jun 29 11:24:46 +0000 2017,0,@BiznetHome maaf kalau coverage area Biznet belum masuk ya ke Karawang (perumnas blok D) ?,880386557764526080,,BiznetHome,in,,0,5,0,https://x.com/undefined/status/880386557764526080,296809254,,Negatif,
862610713839259648,Thu May 11 10:09:55 +0000 2017,0,@TelkomCare u/ alamat Perum Mahkota Regency kec. Telukjambe Timur kel. Puseurjaya kab. Karawang apakah sudah tercover layanan biznet?,862610713839259648,,Telkom_EYF,in,,0,1,0,https://x.com/undefined/status/862610713839259648,387598285,,Negatif,
861581000001835008,Mon May 08 13:58:12 +0000 2017,0,@BiznetHome u/ alamat Perum Mahkota Regency kec. Telukjambe Timur kel. Puseurjaya kab. Karawang apakah sudah tercover layanan biznet?,861581000001835008,,BiznetHome,in,,0,2,0,https://x.com/undefined/status/861581000001835008,387598285,,Negatif,
854980173527080960,Thu Apr 20 08:48:52 +0000 2017,0,mau Tanya untuk wilayah perumnas bumi telukjambe Blok M karawang Jabar apakah sudah Ada pemasangan jaringan biznet? Trims ...,854980173527080960,,,in,,0,0,0,https://x.com/undefined/status/854980173527080960,243013265,,Negatif,
852732490024329221,Fri Apr 14 03:57:23 +0000 2017,0,Di daerah rawagabus karawang timur biznet sudah masuk belum yah? @BiznetHome @BiznetNetworks,852732490024329221,,,in,,0,4,0,https://x.com/undefined/status/852732490024329221,310231921,,Negatif,
